ID,Occupation
1,Student
2,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers"
3,Specialists in Intellectual and Scientific Activities
4,Intermediate Level Technicians and Professions
5,Administrative staff
6,"Personal Services, Security and Safety Workers, and Sellers"
7,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry"
8,"Skilled Workers in Industry, Construction, and Craftsmen"
9,Installation and Machine Operators and Assembly Workers
10,Unskilled Workers
11,Armed Forces Professions
12,Other Situation; 13—(blank)
13,Armed Forces Officers
14,Armed Forces Sergeants
15,Other Armed Forces personnel
16,Directors of administrative and commercial services
17,"Hotel, catering, trade, and other services directors"
18,"Specialists in the physical sciences, mathematics, engineering, and related techniques"
19,Health professionals
20,Teachers
21,"Specialists in finance, accounting, administrative organization, and public and commercial relations"
22,Intermediate level science and engineering technicians and professions
23,Technicians and professionals of intermediate level of health
24,"Intermediate level technicians from legal, social, sports, cultural, and similar services"
25,Information and communication technology technicians
26,"Office workers, secretaries in general, and data processing operators"
27,"Data, accounting, statistical, financial services, and registry-related operators"
28,Other administrative support staff
29,Personal service workers
30,Sellers
31,Personal care workers and the like
32,Protection and security services personnel
33,Market-oriented farmers and skilled agricultural and animal production workers
34,"Farmers, livestock keepers, fishermen, hunters and gatherers, and subsistence"
35,"Skilled construction workers and the like, except electricians"
36,"Skilled workers in metallurgy, metalworking, and similar"
37,Skilled workers in electricity and electronics
38,"Workers in food processing, woodworking, and clothing and other industries and crafts"
39,Fixed plant and machine operators
40,Assembly workers
41,Vehicle drivers and mobile equipment operators
42,"Unskilled workers in agriculture, animal production, and fisheries and forestry"
43,"Unskilled workers in extractive industry, construction, manufacturing, and transport"
44,Meal preparation assistants
45,Street vendors (except food) and street service provider